review_id,customer_name,product,rating,review_text
1,Neha,Speaker,1,"Very poor quality, stopped working."
2,Sneha,Keyboard,2,Low battery life and heating issues.
3,Priya,Monitor,3,"Average performance, nothing great."
4,Rohit,Headphones,1,Low battery life and heating issues.
5,Priya,Headphones,3,Product is fine but delivery was late.
6,Karan,Camera,5,Excellent product! Works perfectly.
7,Anjali,Headphones,2,Extremely disappointed with the product.
8,Priya,Camera,2,Not worth the money.
9,Rohit,Camera,5,Superb design and smooth functionality.
10,Amit,Speaker,5,Battery life and performance are top-notch.
11,Amit,Camera,2,Not worth the money.
12,Sneha,Laptop,1,Low battery life and heating issues.
13,Pooja,Keyboard,1,"Very poor quality, stopped working."
14,Anjali,Headphones,2,Low battery life and heating issues.
15,Karan,Phone,5,Superb design and smooth functionality.
16,Pooja,Keyboard,5,Superb design and smooth functionality.
17,Anjali,Speaker,4,"Amazing experience, highly recommend."
18,Pooja,Camera,4,"Amazing experience, highly recommend."
19,Anjali,Tablet,5,"Amazing experience, highly recommend."
20,Priya,Laptop,4,Excellent product! Works perfectly.
21,Pooja,Charger,4,Superb design and smooth functionality.
22,Vikas,Headphones,2,"Very poor quality, stopped working."
23,Karan,Tablet,2,Not worth the money.
24,Vikas,Headphones,5,Battery life and performance are top-notch.
25,Karan,Laptop,2,"Terrible experience, don’t buy."
26,Vikas,Monitor,4,"Amazing experience, highly recommend."
27,Rahul,Camera,5,"Amazing experience, highly recommend."
28,Amit,Headphones,2,Low battery life and heating issues.
29,Karan,Phone,2,Low battery life and heating issues.
30,Anjali,Monitor,4,Excellent product! Works perfectly.
31,Amit,Speaker,5,Battery life and performance are top-notch.
32,Vikas,Monitor,5,Battery life and performance are top-notch.
33,Vikas,Keyboard,4,"Amazing experience, highly recommend."
34,Rohit,Smartwatch,3,It does the job but nothing special.
35,Vikas,Charger,1,"Terrible experience, don’t buy."
36,Rohit,Laptop,2,"Terrible experience, don’t buy."
37,Vikas,Monitor,4,Battery life and performance are top-notch.
38,Pooja,Speaker,5,Superb design and smooth functionality.
39,Rahul,Speaker,1,Extremely disappointed with the product.
40,Karan,Laptop,1,"Very poor quality, stopped working."
41,Vikas,Charger,3,"Not bad, not great either."
42,Amit,Tablet,3,"Average performance, nothing great."
43,Priya,Tablet,1,Extremely disappointed with the product.
44,Amit,Phone,5,Totally satisfied with the quality.
45,Neha,Phone,1,Not worth the money.
46,Amit,Keyboard,1,Extremely disappointed with the product.
47,Vikas,Speaker,5,Totally satisfied with the quality.
48,Rohit,Charger,1,"Terrible experience, don’t buy."
49,Anjali,Charger,3,"Not bad, not great either."
50,Priya,Speaker,4,Excellent product! Works perfectly.
51,Vikas,Laptop,5,"Amazing experience, highly recommend."
52,Pooja,Laptop,1,Low battery life and heating issues.
53,Neha,Speaker,1,"Terrible experience, don’t buy."
54,Sneha,Speaker,1,"Terrible experience, don’t buy."
55,Karan,Camera,3,Okay for the price.
56,Neha,Keyboard,4,"Amazing experience, highly recommend."
57,Rahul,Charger,2,Not worth the money.
58,Rahul,Camera,4,Superb design and smooth functionality.
59,Anjali,Smartwatch,5,Battery life and performance are top-notch.
60,Anjali,Laptop,1,"Very poor quality, stopped working."
61,Rohit,Charger,2,"Very poor quality, stopped working."
62,Vikas,Speaker,2,Extremely disappointed with the product.
63,Sneha,Headphones,2,Not worth the money.
64,Priya,Laptop,5,"Amazing experience, highly recommend."
65,Neha,Keyboard,5,Totally satisfied with the quality.
66,Vikas,Headphones,5,Totally satisfied with the quality.
67,Pooja,Monitor,5,"Amazing experience, highly recommend."
68,Rohit,Charger,1,"Terrible experience, don’t buy."
69,Rahul,Monitor,5,Totally satisfied with the quality.
70,Karan,Tablet,4,Totally satisfied with the quality.
71,Rahul,Laptop,1,Extremely disappointed with the product.
72,Priya,Keyboard,5,Superb design and smooth functionality.
73,Vikas,Speaker,4,Excellent product! Works perfectly.
74,Rahul,Speaker,3,"Average performance, nothing great."
75,Karan,Monitor,4,Excellent product! Works perfectly.
76,Rahul,Speaker,2,"Very poor quality, stopped working."
77,Sneha,Charger,4,Totally satisfied with the quality.
78,Sneha,Laptop,2,Low battery life and heating issues.
79,Priya,Monitor,1,"Very poor quality, stopped working."
80,Amit,Speaker,1,Not worth the money.
81,Neha,Laptop,2,"Terrible experience, don’t buy."
82,Sneha,Tablet,4,"Amazing experience, highly recommend."
83,Sneha,Laptop,1,Extremely disappointed with the product.
84,Rohit,Keyboard,5,Battery life and performance are top-notch.
85,Pooja,Phone,3,Product is fine but delivery was late.
86,Amit,Phone,5,Battery life and performance are top-notch.
87,Rahul,Charger,4,"Amazing experience, highly recommend."
88,Sneha,Headphones,4,Battery life and performance are top-notch.
89,Neha,Laptop,5,Excellent product! Works perfectly.
90,Anjali,Monitor,2,Low battery life and heating issues.
91,Rahul,Charger,1,Low battery life and heating issues.
92,Rahul,Phone,3,Product is fine but delivery was late.
93,Sneha,Tablet,3,"Not bad, not great either."
94,Rahul,Camera,5,Superb design and smooth functionality.
95,Sneha,Camera,1,Extremely disappointed with the product.
96,Rahul,Headphones,4,Totally satisfied with the quality.
97,Neha,Laptop,3,Okay for the price.
98,Vikas,Laptop,2,"Terrible experience, don’t buy."
99,Rahul,Camera,3,"Not bad, not great either."
100,Priya,Monitor,5,Totally satisfied with the quality.
101,Priya,Camera,5,Superb design and smooth functionality.
102,Anjali,Tablet,1,"Terrible experience, don’t buy."
103,Sneha,Smartwatch,4,Battery life and performance are top-notch.
104,Vikas,Laptop,5,Battery life and performance are top-notch.
105,Neha,Smartwatch,5,Superb design and smooth functionality.
106,Priya,Headphones,5,Battery life and performance are top-notch.
107,Pooja,Phone,1,Low battery life and heating issues.
108,Pooja,Phone,4,Battery life and performance are top-notch.
109,Rahul,Smartwatch,4,Battery life and performance are top-notch.
110,Priya,Headphones,3,It does the job but nothing special.
111,Vikas,Charger,3,It does the job but nothing special.
112,Rahul,Headphones,2,"Terrible experience, don’t buy."
113,Priya,Speaker,4,Totally satisfied with the quality.
114,Rahul,Smartwatch,4,Battery life and performance are top-notch.
115,Neha,Laptop,4,"Amazing experience, highly recommend."
116,Karan,Headphones,3,It does the job but nothing special.
117,Anjali,Smartwatch,2,Low battery life and heating issues.
118,Karan,Smartwatch,1,"Terrible experience, don’t buy."
119,Amit,Speaker,2,"Very poor quality, stopped working."
120,Rohit,Speaker,1,"Very poor quality, stopped working."
121,Anjali,Monitor,1,Low battery life and heating issues.
122,Neha,Monitor,2,Low battery life and heating issues.
123,Neha,Monitor,5,Battery life and performance are top-notch.
124,Rohit,Tablet,2,Low battery life and heating issues.
125,Anjali,Charger,4,"Amazing experience, highly recommend."
126,Amit,Tablet,4,Superb design and smooth functionality.
127,Neha,Keyboard,2,Extremely disappointed with the product.
128,Vikas,Charger,4,Excellent product! Works perfectly.
129,Sneha,Keyboard,2,Extremely disappointed with the product.
130,Neha,Monitor,5,Excellent product! Works perfectly.
131,Rohit,Camera,3,"Average performance, nothing great."
